_id,Rank,Name,Rating,tagCount
65d0a2b567e0fa134945c8a9,80,Rascal Does Not Dream of a Dreaming Girl,4.36,7
65d0a2b567e0fa134945c8aa,81,Given Movie,4.36,19
65d0a2b567e0fa134945c8ab,82,Mushishi Zoku Shou,4.36,6
65d0a2b567e0fa134945c8ac,83,Princess Mononoke,4.36,10
65d0a2b567e0fa134945c8ad,84,Kuroko's Basketball 3,4.36,6
65d0a2b567e0fa134945c8ae,85,BTS: We are Bulletproof - the Eternal,4.36,2
65d0a2b567e0fa134945c8af,86,Haikyuu!! Movie 4: Battle of Concepts,4.36,7
65d0a2b567e0fa134945c8b0,87,Dr. Stone,4.36,9
65d0a2b567e0fa134945c8b1,88,Attack on Titan: No Regrets,4.36,12
65d0a2b567e0fa134945c8b2,89,Horimiya,4.36,6
65d0a2b567e0fa134945c8b3,90,Cowboy Bebop,4.36,17
65d0a2b567e0fa134945c8b4,91,Hotarubi no Mori e,4.36,11
65d0a2b567e0fa134945c8b5,92,The Disastrous Life of Saiki K. 2nd Season,4.36,10
65d0a2b567e0fa134945c8b6,93,Monogatari Series: Second Season,4.36,10
65d0a2b567e0fa134945c8b7,94,Castlevania Season 4,4.35,19
65d0a2b567e0fa134945c8b8,95,Doukyuusei,4.35,9
65d0a2b567e0fa134945c8b9,96,ERASED,4.35,21
65d0a2b567e0fa134945c8ba,97,The Rising of the Shield Hero,4.35,17
65d0a2b567e0fa134945c8bb,98,To Your Eternity,4.35,11
65d0a2b567e0fa134945c8bc,99,Hajime no Ippo: Rising,4.35,7
65d0a2b567e0fa134945c8bd,100,"Josee, the Tiger and the Fish",4.35,4
65d0a2b567e0fa134945c8be,101,Made in Abyss,4.35,17
65d0a2b567e0fa134945c8bf,102,Rurouni Kenshin: Tsuiokuhen,4.35,11
65d0a2b567e0fa134945c8c0,103,Descending Stories: Shouwa Genroku Rakugo Shinjuu,4.35,8
65d0a2b567e0fa134945c8c1,104,Haikyuu!! Movie 3: Talent and Sense,4.35,8
65d0a2b567e0fa134945c8c2,105,Mo Dao Zu Shi Q,4.34,7
65d0a2b567e0fa134945c8c3,106,Natsume's Book of Friends Season 2,4.34,13
65d0a2b567e0fa134945c8c4,107,Made in Abyss Movie: Dawn of the Deep Soul,4.34,17
65d0a2b567e0fa134945c8c5,108,Fruits Basket 1st Season,4.34,21
65d0a2b567e0fa134945c8c6,109,Kizumonogatari Part 3: Reiketsu,4.34,10
65d0a2b567e0fa134945c8c7,110,Dr. Stone: Stone Wars,4.34,9
65d0a2b567e0fa134945c8c8,111,My Hero Academia 4,4.34,14
65d0a2b567e0fa134945c8c9,112,Owarimonogatari II,4.34,6
65d0a2b567e0fa134945c8ca,113,Great Teacher Onizuka,4.33,12
65d0a2b567e0fa134945c8cb,114,Your lie in April,4.33,19
65d0a2b567e0fa134945c8cc,115,Bungo Stray Dogs 3rd Season,4.33,11
65d0a2b567e0fa134945c8cd,116,Kamisama Kiss 2nd Season,4.33,10
65d0a2b567e0fa134945c8ce,117,Violet Evergarden: Eternity and the Auto Memory Doll,4.33,3
65d0a2b567e0fa134945c8cf,118,Mob Psycho 100,4.33,11
65d0a2b567e0fa134945c8d0,119,Natsume's Book of Friends Season 6 Specials,4.33,13
65d0a2b567e0fa134945c8d1,120,Kuroko's Basketball 2,4.33,6
65d0a2b567e0fa134945c8d2,121,Natsume's Book of Friends Movie: Ephemeral Bond,4.33,12
65d0a2b567e0fa134945c8d3,122,Odd Taxi,4.32,9
65d0a2b567e0fa134945c8d4,123,The Legend of Hei,4.32,11
65d0a2b567e0fa134945c8d5,124,Death Note,4.32,17
65d0a2b567e0fa134945c8d6,125,Moriarty the Patriot 2nd Season,4.32,10
65d0a2b567e0fa134945c8d7,126,Fate/stay night: Heaven's Feel III. spring song,4.32,12
65d0a2b567e0fa134945c8d8,127,One Piece Movie 14: Stampede,4.32,6
65d0a2b567e0fa134945c8d9,128,Kingdom 3,4.32,8
65d0a2b567e0fa134945c8da,129,One Piece,4.32,8
