_id,avgEpisodes,avgRating
Chaos Project,5,3.1655555555555552
Wolf Smoke,1,3.38
Hal Film Maker,16.275862068965516,3.5219444444444448
Takahashi Studio,2,3.21
Romanov Films,5,2.45
Original Dream,,
,23.445472249269717,3.1713806481058877
Studio Rikka,3,3.6340000000000003
Arvo Animation,8.833333333333334,3.578333333333333
Studio Gokumi,10.6,3.468378378378379
Spring 2019,8,3.05
Sirius,,2.83
AIC ASTA,15.294117647058824,3.513103448275862
Summer 2011,20,3.36
Scooter Films,,
Production IMS,8.470588235294118,3.460384615384615
Sanctuary,2,2.74
Sola Digital Arts,4.666666666666667,3.4375
Knack,31.083333333333332,3.3083333333333336
Summer 2019,20.5,3.3166666666666664
The Village of Marchen,1.25,2.305
Bibury Animation Studios,4.833333333333333,3.435714285714286
ASK Animation,13,3.81
Oh production,1,3.5766666666666667
L2 Studio,16.833333333333332,3.68125
Studio Bogey,66,3.53
A-1 Pictures,15.893939393939394,3.6522421524663677
ISSEN,13,3.2660000000000005
Wulifang Digital,15,3.9
Phoenix Entertainment,7.75,3.068
October Media,,3.61
Spring 2015,19,3.14
Sofix,2,2.66
Signal.MD,12.6,3.442941176470588
Studio Live,1.6666666666666667,2.7649999999999997
ENISHIYA,,3.74
Ripple Film,1,3.27
Animation 21,61.4,3.2340000000000004
Circus Production,1,3.06
studio bh,,
Enagio,,3.59
Project No.9,9.192307692307692,3.1849999999999996
CloverWorks,10.823529411764707,3.712702702702703
Karaku,12,3.65
Studio Ugoki,6,3.26
Studio LAN,8.571428571428571,3.65
Winter 2014,7,3.013333333333333
Beat Frog,12,3.24
East Fish Studio,1,3.47
Spooky Graphic,,
SILVER LINK.,10.40625,3.520989010989011
Studio Bind,8,4.015
Studio Mother,,3.9050000000000002
SYOK Studio,1,3.67
Gudong Animation Studio,,3.57
Yostar Pictures,1,3.3266666666666667
Studio Crocodile,21,3.2900000000000005
Studio Kingyoiro,,
Studio 3Hz,10.714285714285714,3.48
Liudao Wuyu Animation Studio,2,3.85
Lay-duce,9.714285714285714,3.5945454545454543
Kanaban Graphics,21.8,3.2340000000000004
Telecom Animation Film,14.588235294117647,3.5434482758620693
OperaHouse,10,2.765
Spring 2007,20,3.1719999999999997
Kugatsusha,,3.31
Atelier Giga,1,2.82
Ekura Animal,11.666666666666666,3.455
Spring 2018,12.8,3.1060000000000003
Sean Pictures,1,
Shanghai Animation Film Studio,29.727272727272727,3.338
Double Eagle,17.8,3.51
Anon Pictures,1,3.15
Yi Chen Animation,12.75,3.22
Maro Studio,52,3.86
M.S.C.,7.777777777777778,3.6983333333333337
3xCube,12.75,3.688
Minakata Laboratory,,3.09625
CCTV Animation,32.5,
CALF,,3.415
LIDEN FILMS Kyoto Studio,6.5,3.34
Pine Jam,10.11111111111111,3.428
Nihon-Animedia,,3.18
Marvy Jack,12,2.86
Tear Studio,12,3.6333333333333333
Garden Lodge,1,2.56
Jumondou,,
Qzil.la,,
DOGA Productions,1,2.74
Kaname Productions,6.428571428571429,3.14125
Frameworks Entertainment,13,
BLADE,12,3.1466666666666665
Cyclone Graphics,5.5,3.16
Buyuu,,
Studio Durian,1,2.7
Visual Flight,12,1.3
Digital Media Lab,25,3.175
NAMU Animation,12,2.91
Sharefun Studio,8.5,4.125
CUKA,20,
BN Pictures,25.3125,3.663488372093023
Studio Placebo,12,3.47
Drive,12,3.0250000000000004
Next Media Animation,19.285714285714285,3.1271428571428572
Sunny Gapen,12,3.27
Palm Studio,16.333333333333332,3.522
YHKT Entertainment,4.285714285714286,3.6914285714285713
Studio Yamato,3,3.11
Twilight Studio,,3.29
MAPPA,12.74468085106383,3.6649230769230767
Top Craft,48,3.357142857142857
Studio Flad,12,3.36
Grayscale Arts,1,2.83
Robot,8.166666666666666,3.345833333333333
Kachidoki Studio,45.19444444444444,3.257027027027027
Yokohama Animation Lab,10,3.3184615384615386
Making Animation,12.8,3.325
Speed,,
Wao World,9.5,3.1644444444444444
Japan Vistec,51.666666666666664,3.1300000000000003
FCC,7,3.1300000000000003
Production Reve,8,3.77
Studio Tigers,1,2.62
Studio Blanc.,5,3.39
Pictionary Art Factory,13,
Gathering,21.925925925925927,3.279142857142857
pH studio,6,3.355
DR Movie,13,3.1466666666666665
Kenji Studio,1,2.88
CLAP,1,3.5324999999999998
Poncotan,,3.1266666666666665
Gift-o`-Animation,12.5,3.3150000000000004
Nekonigashi,,3.46
TAKUNBOX,,3.26
Spring 2000,27,3.4299999999999997
Winter 2006,12.5,2.6999999999999997
Studio Tumble,1,3.41
Studio Flag,47.666666666666664,3.115
SATELIGHT,16.589285714285715,3.4882926829268297
Creative Power Entertaining,77.28571428571429,3.445
Oz,,3.81
Mua Film,7.333333333333333,4.16
Studio DEEN,22.18483412322275,3.547080291970803
Twin Engine Digital Studio,,3.52
Kyotoma,12.8,2.2125
Winter 2003,14,3.02
Shanghai Xuandong Communication,104,
Winter 2002,48,3.21
Summer 2015,10,3.44
C&D Distribution,200,3.37
GoHands,12.307692307692308,3.5206451612903225
CMAY Animation,52.666666666666664,
Yamamura Animation,1,2.819642857142857
Winter 2008,13,
CONNECT,9.941176470588236,3.5373684210526313
Haoliners Animation League,14.904761904761905,3.5824444444444445
Spring 2008,34,3.3049999999999997
Kyowa Film,,3.3
Shin-Ei Animation,62.18840579710145,3.49365
Gekigadan,,3.45
Studio Moriken,1.3333333333333333,3.36
The Monk Studios,,3.49
WillPalette,1,
Digital Media Corporation,,2.74
Production I.G,12.528,3.6115073529411768
