_id,countAnime,myGroup.addToSet[0],myGroup.addToSet[1],myGroup.addToSet[2],myGroup.addToSet[3],myGroup.addToSet[4],myGroup.addToSet[5],myGroup.addToSet[6],myGroup.addToSet[7],myGroup.addToSet[8],myGroup.addToSet[9],myGroup.addToSet[10],myGroup.addToSet[11],myGroup.addToSet[12],myGroup.addToSet[13],myGroup.addToSet[14],myGroup.addToSet[15],myGroup.addToSet[16],myGroup.addToSet[17],myGroup.addToSet[18],myGroup.addToSet[19],myGroup.addToSet[20],myGroup.addToSet[21],myGroup.addToSet[22],myGroup.addToSet[23],myGroup.addToSet[24],myGroup.addToSet[25],myGroup.addToSet[26],myGroup.addToSet[27],myGroup.addToSet[28],myGroup.addToSet[29],myGroup.addToSet[30],myGroup.addToSet[31],myGroup.addToSet[32],myGroup.addToSet[33],myGroup.addToSet[34],myGroup.addToSet[35],myGroup.addToSet[36],myGroup.addToSet[37],myGroup.addToSet[38],myGroup.addToSet[39],myGroup.addToSet[40],myGroup.addToSet[41],myGroup.addToSet[42],myGroup.addToSet[43],myGroup.addToSet[44],myGroup.addToSet[45],myGroup.addToSet[46],myGroup.addToSet[47],myGroup.addToSet[48],myGroup.addToSet[49],myGroup.addToSet[50],myGroup.addToSet[51],myGroup.addToSet[52],myGroup.addToSet[53],myGroup.addToSet[54],myGroup.addToSet[55],myGroup.addToSet[56],myGroup.addToSet[57],myGroup.addToSet[58],myGroup.addToSet[59],myGroup.addToSet[60],myGroup.addToSet[61],myGroup.addToSet[62],myGroup.addToSet[63],myGroup.addToSet[64],myGroup.addToSet[65],myGroup.addToSet[66],myGroup.addToSet[67],myGroup.addToSet[68],myGroup.addToSet[69],myGroup.addToSet[70],myGroup.addToSet[71],myGroup.addToSet[72],myGroup.addToSet[73],avgEpisodes,avgRating,maxMinDuration
Detective Conan,74,Detective Conan: Episode One - The Great Detective Turned Small,Detective Conan Movie 20: The Darkest Nightmare,Detective Conan Movie 6: The Phantom of Baker Street,Detective Conan Movie 14: The Lost Ship in the Sky,Detective Conan Movie 15: Quarter of Silence,Detective Conan Movie 13: The Raven Chaser,Detective Conan Movie 23: The Fist of Blue Sapphire,Detective Conan Movie 18: The Sniper From Another Dimension,Detective Conan Movie 8: Magician of the Silver Sky,Detective Conan Movie 5: Countdown to Heaven,Detective Conan Movie 22: Zero The Enforcer,Detective Conan Movie 3: The Last Magician of the Century,Detective Conan Movie 19: The Hellfire Sunflowers,Detective Conan Movie 10: The Private Eyes' Requiem,Detective Conan Movie 4: Captured In her Eyes,The Disappearance of Conan Edogawa: The Worst Two Days in History,Detective Conan Movie 16: The Eleventh Striker,Detective Conan Movie 2: The Fourteenth Target,Detective Conan Movie 21: Kara Kurenai no Love Letter,Detective Conan Movie 1: The Time Bombed Skyscraper,Detective Conan Movie 12: Full Score of Fear,Detective Conan OVA 10: Kid in Trap Island,Detective Conan Movie 17: Zekkai no Private Eye,Detective Conan Movie 7: Crossroad in the Ancient Capital,Detective Conan OVA 9: The Stranger of 10 Years,Detective Conan Movie 9: Strategy Above the Depths,Detective Conan Movie 24: The Scarlet Bullet,Lupin III Special 21: Lupin III vs Detective Conan,Magic Kaito 1412,Detective Conan: The Burning Galactic Railway,Detective Conan: Black History 2,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,Detective Conan Movie 11: Jolly Roger in the Deep Azure,Detective Conan OVA 4: Conan and Kid and Crystal Mother,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,Detective Conan OVA 11: A Secret Order from London,Detective Conan OVA 6: Follow the Vanished Diamond! Conan and Heiji vs Kid!,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,Detective Conan Movie 09: Promo Special,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata,Detective Conan: Time Travel of the Silver Sky,Detective Conan Magic File 6: Fantasista Flower,Detective Conan: Black History,Detective Conan OVA 7: A Challenge from Agasa,Detective Conan OVA 2: 16 Suspects,Detective Conan: Anti-Crime Guide,Detective Conan OVA 5: The Target is Kogoro! The Detective Boys' Secret Investigation,Detective Conan OVA 3: Conan and Heiji and the Vanished Boy,Detective Conan: The Mysterious Written Invitation Case,Detective Conan: The Magician of Starlight,Detective Conan Movie 10: Promo Special,Detective Conan OVA 8: High School Girl Detective Sonoko Suzuki's Case Files,Detective Conan OVA 1: Conan vs Kid vs YAIBA,Detective Conan: Approaching the Mystery of the Ancient Dinosaurs!,Detective Conan: Amuro Secret Call,Detective Conan: Let's Try a Curious Experiment!,Detective Conan: City Exploration! Get the Animal Mark!,Detective Conan: Conan vs. Kid - Jet Black Sniper,"Detective Conan: Happy New Year, Kogorou Mouri",Detective Conan: The Fugitive Kogorou Mouri,Detective Conan: Excalibur no Kiseki,Detective Conan: A Written Challenge from the Pyramids!,Detective Conan: The Internet - The Mysterious E-mail Case,Detective Conan: Let's Experience the Jomon Period!,Detective Conan: Chase the Mysterious Comet Monster!,Shounen Sunday CM: Detective Conan,Detective Conan vs. Wooo,Lupin III: Pilot Film,Lupin III: Pilot Film,Detective Conan: Police Academy Arc - Wild Police Story,Detective Conan: The Culprit Hanazawa,Detective Conan: Zero's Tea Time,Detective Conan Movie 25: The Bride of Halloween,Detective Conan: Tantei-tachi no Starry Night,1.827,3.865,46
Doraemon (1979),64,Stand by Me Doraemon,Doraemon: Nobita no Shin Kyouryuu,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon Movie 38: Nobita's Treasure Island,Doraemon (2005),Doraemon Movie 37: Nobita no Nankyoku Kachi Kochi Daibouken,Doraemon Movie 36: Nobita at the Birth of Japan (2016),Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Doraemon (1973),Doraemon Movie 22: Nobita's Winged Heroes,Doraemon Movie 25: Nobita's Wannyan Space-Time Legend,Doraemon Movie 35: Nobita no Space Heroes,Doraemon (1979) Special 5: Dora Q Perman,Doraemon Movie 21: Nobita and the Legend of the Sun King,Doraemon Movie 15: Nobita's Fantastical Three Musketeers,Doraemon Movie 27: Nobita no Shin Makai Daibouken - Shichinin no Mahou Tsukai,"Doraemon (1979) Special 27: The Country of ""Ichi"", the Stray Dog",Doraemon: Doraemon Comes Back (1998),Doraemon (1979) Special 17: Doraemon Meets Hattori the Ninja,Doraemon (1979) Special 9: Nessie's Coming!,Doraemon Movie 23: Nobita & Robot Kingdom,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Doraemon: Ganbare! Gian!!,Doraemon (1979) Special 2: Doraemon's Time Capsule for 2001,Doraemon Movie 20: Nobita Gets Lost in Space,Doraemon Movie 28: Nobita and the Green Giant Legend,Doraemon (1979) Special 1: Benkyou Beya no Tsuribori,Doraemon Movie 26: Nobita's Dinosaur (2006),Doraemon Movie 13: Nobita to Kumo no Oukoku,Doraemon: Doraemon Comes Back,"The Doraemons: Strange, Sweets, Strange?",Doraemon Movie 12: Nobita in Dorabian Nights,Doraemon Movie 9: Nobita's Version of Saiyuki,Doraemon Movie 17: Nobita's Galactic Express,Doraemon Movie 30: Nobita's Great Mermaid Naval Battle,Doraemon Movie 2: Nobita no Uchuu Kaitakushi,Doraemon Movie 3: Nobita's Great Demon,Doraemon Movie 8: Nobita and the Dragon Rider,Doraemon Movie 5: Nobita's Great Adventure into the Underworld,Doraemon: Obaa-chan no Omoide,Dorami & Doraemons: Robot School's Seven Mysteries,Doraemon Movie 11: Nobita to Animal Planet,Doraemon Movie 24: Nobita and the Strange Wind Rider,Doraemon Movie 7: Nobita and the Platoon of Iron Men,The Doraemons: Kaitou Dorapan Nazo no Chousenjou!,Doraemon Movie 1: Nobita's Dinosaur,Doraemon Movie 14: Nobita's Tin-Plate Labyrinth,Doraemon: Nobita to Mirai Note,Doraemon Movie 16: Nobita's Genesis Diary,2112: The Birth of Doraemon,Doraemon Movie 6: Nobita's Little Star Wars,Doraemon Movie 10: Nobita at the Birth of Japan,Doraemon: Nobita no Kekkon Zenya,Doraemon Movie 19: Nobita's South Sea Adventure,Doraemon Movie 18: Nobita's Adventure in Clockwork City,Doraemon Movie 4: Nobita's Monstrous Underwater Castle,Doraemon Eigo Kyoushitsu,Dorami-chan: Hello Kyouryuu Kids!!,Doraemon: Boku no Umareta Hi,"Doraemon: Boku, Momotarou no Nanna no Sa",Dorami-chan: MiniDora SOS!!!,The Doraemons: Goal! Goal! Goal!,The Doraemons: Mushimushi Pyonpyon Daisakusen!,,,,,,,,,,,194.666,3.567,
Mobile Suit Gundam SEED Destiny,60,Mobile Suit Gundam: Iron-Blooded Orphans 2,Mobile Suit Gundam 00 Second Season,Mobile Suit Gundam: The Origin,Mobile Suit Gundam 00,Mobile Suit Gundam: Iron-Blooded Orphans,Mobile Suit Gundam Unicorn,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam Wing: Endless Waltz Movie,Mobile Suit Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing,Mobile Suit Gundam SEED,Mobile Suit Gundam 00 Special Edition II: End of World,Mobile Suit Gundam 00 Special Edition I: Celestial Being,Mobile Suit Gundam 00 Special Edition III: Return the World,Mobile Suit Gundam: Thunderbolt,Mobile Suit Zeta Gundam,Mobile Suit Gundam: Char's Counterattack,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,Mobile Suit Gundam 0083: Stardust Memory,Mobile Suit Gundam SEED Destiny Special Edition IV: The Cost of Freedom,Mobile Fighter G Gundam,Mobile Suit Gundam SEED Destiny Special Edition III: The Hell Fire of Destiny,Mobile Suit Gundam SEED Destiny Special Edition II: Respective Swords,Mobile Suit Gundam SEED Movie II: The Far-Away Dawn,Mobile Suit Gundam SEED Movie III: The Rumbling Sky,Mobile Suit Gundam 0083: The Afterglow of Zeon,Mobile Suit Gundam SEED Destiny Special Edition I: The Broken World,Mobile Suit Gundam SEED Movie I: The Empty Battlefield,Mobile Suit Gundam SEED: After Phase: In the Valley of Stars,Mobile Suit Gundam SEED C.E.73: Stargazer,Turn A Gundam,After War Gundam X,Mobile Suit Gundam SEED Character Theater,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,Mobile Suit Gundam MS IGLOO 2: Juuryoku Sensen,Mobile Suit Victory Gundam,Mobile Suit Gundam ZZ,Mobile Suit Gundam F91,Mobile Suit Gundam SEED MSV Astray,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,Mobile Suit Gundam Evolve,Mobile Suit Gundam AGE: Memory of Eden,Mobile Suit SD Gundam no Gyakushuu: Arashi wo Yobu Gakuensai,Mokei Senshi Gunpla Builders Beginning G,Mobile Suit Gundam SEED Destiny Recap,Mobile Suit Gundam AGE,30th Gundam Perfect Mission,Mobile Suit Gundam: More Information on the Universal Century,Mobile Suit SD Gundam Mk I,Gundam: Mission To The Rise,Collection of Key Animation Films,Mobile Suit Gundam ZZ: Gundam Frag.,Chou Denei-ban SD Gundam Sangokuden Brave Battle Warriors,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,All That Gundam,Mobile Suit Gundam: Twilight Axis,Ring of Gundam,Mobile Suit Gundam SEED PROJECT Ignited,,,,,,,,,,,,,,,19.562,3.578,33
Doraemon: Doraemon Comes Back (1998),60,Stand by Me Doraemon,Doraemon: Nobita no Shin Kyouryuu,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon Movie 38: Nobita's Treasure Island,Doraemon (2005),Doraemon Movie 37: Nobita no Nankyoku Kachi Kochi Daibouken,Doraemon Movie 36: Nobita at the Birth of Japan (2016),Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Doraemon: Nobita no Getsumen Tansaki,Doraemon (1973),Doraemon Movie 22: Nobita's Winged Heroes,Doraemon Movie 25: Nobita's Wannyan Space-Time Legend,Doraemon Movie 35: Nobita no Space Heroes,Doraemon Movie 21: Nobita and the Legend of the Sun King,Doraemon Movie 15: Nobita's Fantastical Three Musketeers,Doraemon Movie 27: Nobita no Shin Makai Daibouken - Shichinin no Mahou Tsukai,Doraemon Movie 23: Nobita & Robot Kingdom,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Doraemon Movie 20: Nobita Gets Lost in Space,Doraemon Movie 28: Nobita and the Green Giant Legend,Doraemon Movie 26: Nobita's Dinosaur (2006),Doraemon Movie 13: Nobita to Kumo no Oukoku,Doraemon: Doraemon Comes Back,Dorami-chan: A Blue Straw Hat,"The Doraemons: Strange, Sweets, Strange?",Doraemon Movie 12: Nobita in Dorabian Nights,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,Doraemon Movie 9: Nobita's Version of Saiyuki,Doraemon Movie 17: Nobita's Galactic Express,Doraemon Movie 30: Nobita's Great Mermaid Naval Battle,Doraemon Movie 2: Nobita no Uchuu Kaitakushi,Doraemon Movie 3: Nobita's Great Demon,Doraemon Movie 8: Nobita and the Dragon Rider,Doraemon Movie 5: Nobita's Great Adventure into the Underworld,Doraemon: Obaa-chan no Omoide,Dorami & Doraemons: Robot School's Seven Mysteries,Doraemon Movie 11: Nobita to Animal Planet,Doraemon Movie 24: Nobita and the Strange Wind Rider,Doraemon Movie 7: Nobita and the Platoon of Iron Men,Dorami-chan: Arara Shounen Sanzokudan,The Doraemons: Kaitou Dorapan Nazo no Chousenjou!,Doraemon Movie 1: Nobita's Dinosaur,Doraemon Movie 14: Nobita's Tin-Plate Labyrinth,Doraemon (1979),Doraemon: Nobita to Mirai Note,Doraemon Movie 16: Nobita's Genesis Diary,2112: The Birth of Doraemon,Doraemon Movie 6: Nobita's Little Star Wars,Doraemon Movie 10: Nobita at the Birth of Japan,Doraemon: Nobita no Kekkon Zenya,Doraemon Movie 19: Nobita's South Sea Adventure,Doraemon Movie 18: Nobita's Adventure in Clockwork City,Doraemon Movie 4: Nobita's Monstrous Underwater Castle,Dorami-chan: Hello Kyouryuu Kids!!,Doraemon: Boku no Umareta Hi,"Doraemon: Boku, Momotarou no Nanna no Sa",Dorami-chan: MiniDora SOS!!!,The Doraemons: Goal! Goal! Goal!,The Doraemons: Mushimushi Pyonpyon Daisakusen!,,,,,,,,,,,,,,,253,3.561,32
Detective Conan Movie 24: The Scarlet Bullet,60,Detective Conan: Episode One - The Great Detective Turned Small,Detective Conan Movie 20: The Darkest Nightmare,Detective Conan Movie 6: The Phantom of Baker Street,Detective Conan Movie 14: The Lost Ship in the Sky,Detective Conan Movie 15: Quarter of Silence,Detective Conan Movie 13: The Raven Chaser,Detective Conan Movie 23: The Fist of Blue Sapphire,Detective Conan Movie 18: The Sniper From Another Dimension,Detective Conan Movie 8: Magician of the Silver Sky,Detective Conan Movie 5: Countdown to Heaven,Detective Conan Movie 22: Zero The Enforcer,Detective Conan Movie 3: The Last Magician of the Century,Detective Conan Movie 19: The Hellfire Sunflowers,Detective Conan Movie 10: The Private Eyes' Requiem,Detective Conan Movie 4: Captured In her Eyes,The Disappearance of Conan Edogawa: The Worst Two Days in History,Detective Conan Movie 16: The Eleventh Striker,Detective Conan Movie 2: The Fourteenth Target,Detective Conan Movie 21: Kara Kurenai no Love Letter,Detective Conan Movie 1: The Time Bombed Skyscraper,Detective Conan Movie 12: Full Score of Fear,Detective Conan OVA 10: Kid in Trap Island,Detective Conan Movie 17: Zekkai no Private Eye,Detective Conan Movie 7: Crossroad in the Ancient Capital,Detective Conan,Detective Conan OVA 9: The Stranger of 10 Years,Detective Conan Movie 9: Strategy Above the Depths,Detective Conan: Black History 2,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,Detective Conan Movie 11: Jolly Roger in the Deep Azure,Detective Conan OVA 4: Conan and Kid and Crystal Mother,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,Detective Conan OVA 11: A Secret Order from London,Detective Conan OVA 6: Follow the Vanished Diamond! Conan and Heiji vs Kid!,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,Detective Conan Movie 09: Promo Special,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata,Detective Conan: Time Travel of the Silver Sky,Detective Conan Magic File 6: Fantasista Flower,Detective Conan: Black History,Detective Conan OVA 7: A Challenge from Agasa,Detective Conan OVA 2: 16 Suspects,Detective Conan OVA 5: The Target is Kogoro! The Detective Boys' Secret Investigation,Detective Conan OVA 3: Conan and Heiji and the Vanished Boy,Detective Conan: The Mysterious Written Invitation Case,Detective Conan: The Magician of Starlight,Detective Conan Movie 10: Promo Special,Detective Conan OVA 8: High School Girl Detective Sonoko Suzuki's Case Files,Detective Conan OVA 1: Conan vs Kid vs YAIBA,Detective Conan: Approaching the Mystery of the Ancient Dinosaurs!,Detective Conan: Amuro Secret Call,Detective Conan: Let's Try a Curious Experiment!,Detective Conan: City Exploration! Get the Animal Mark!,"Detective Conan: Happy New Year, Kogorou Mouri",Detective Conan: The Fugitive Kogorou Mouri,Detective Conan: Excalibur no Kiseki,Detective Conan: A Written Challenge from the Pyramids!,Detective Conan: The Internet - The Mysterious E-mail Case,Detective Conan: Chase the Mysterious Comet Monster!,Detective Conan vs. Wooo,,,,,,,,,,,,,,,4.814,3.899,19
Doraemon: Doraemon Comes Back,60,Stand by Me Doraemon,Doraemon: Nobita no Shin Kyouryuu,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon Movie 38: Nobita's Treasure Island,Doraemon (2005),Doraemon Movie 37: Nobita no Nankyoku Kachi Kochi Daibouken,Doraemon Movie 36: Nobita at the Birth of Japan (2016),Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Doraemon: Nobita no Getsumen Tansaki,Doraemon (1973),Doraemon Movie 22: Nobita's Winged Heroes,Doraemon Movie 25: Nobita's Wannyan Space-Time Legend,Doraemon Movie 35: Nobita no Space Heroes,Doraemon Movie 21: Nobita and the Legend of the Sun King,Doraemon Movie 15: Nobita's Fantastical Three Musketeers,Doraemon Movie 27: Nobita no Shin Makai Daibouken - Shichinin no Mahou Tsukai,Doraemon: Doraemon Comes Back (1998),Doraemon Movie 23: Nobita & Robot Kingdom,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Doraemon Movie 20: Nobita Gets Lost in Space,Doraemon Movie 28: Nobita and the Green Giant Legend,Doraemon Movie 26: Nobita's Dinosaur (2006),Doraemon Movie 13: Nobita to Kumo no Oukoku,Dorami-chan: A Blue Straw Hat,"The Doraemons: Strange, Sweets, Strange?",Doraemon Movie 12: Nobita in Dorabian Nights,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,Doraemon Movie 9: Nobita's Version of Saiyuki,Doraemon Movie 17: Nobita's Galactic Express,Doraemon Movie 30: Nobita's Great Mermaid Naval Battle,Doraemon Movie 2: Nobita no Uchuu Kaitakushi,Doraemon Movie 3: Nobita's Great Demon,Doraemon Movie 8: Nobita and the Dragon Rider,Doraemon Movie 5: Nobita's Great Adventure into the Underworld,Doraemon: Obaa-chan no Omoide,Dorami & Doraemons: Robot School's Seven Mysteries,Doraemon Movie 11: Nobita to Animal Planet,Doraemon Movie 24: Nobita and the Strange Wind Rider,Doraemon Movie 7: Nobita and the Platoon of Iron Men,Dorami-chan: Arara Shounen Sanzokudan,The Doraemons: Kaitou Dorapan Nazo no Chousenjou!,Doraemon Movie 1: Nobita's Dinosaur,Doraemon Movie 14: Nobita's Tin-Plate Labyrinth,Doraemon (1979),Doraemon: Nobita to Mirai Note,Doraemon Movie 16: Nobita's Genesis Diary,2112: The Birth of Doraemon,Doraemon Movie 6: Nobita's Little Star Wars,Doraemon Movie 10: Nobita at the Birth of Japan,Doraemon: Nobita no Kekkon Zenya,Doraemon Movie 19: Nobita's South Sea Adventure,Doraemon Movie 18: Nobita's Adventure in Clockwork City,Doraemon Movie 4: Nobita's Monstrous Underwater Castle,Dorami-chan: Hello Kyouryuu Kids!!,Doraemon: Boku no Umareta Hi,"Doraemon: Boku, Momotarou no Nanna no Sa",Dorami-chan: MiniDora SOS!!!,The Doraemons: Goal! Goal! Goal!,The Doraemons: Mushimushi Pyonpyon Daisakusen!,,,,,,,,,,,,,,,253,3.562,32
Lupin III Special 21: Lupin III vs Detective Conan,59,Lupin III: The First,Lupin III vs Detective Conan: The Movie,Lupin III: Part IV,Lupin III: The Castle of Cagliostro,Detective Conan,Detective Conan OVA 9: The Stranger of 10 Years,Lupin III: Goemon's Blood Spray,Lupin III: Part II,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,Lupin III: The Woman Called Fujiko Mine,Detective Conan OVA 11: A Secret Order from London,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata,Lupin III Special 14: Episode 0 - First Contact,Lupin III Special 22: The Last Job,Lupin III Special 9: Island of Assassins,Lupin III Special 15: Operation Return the Treasure,Lupin III Special 23: Blood Seal of the Eternal Mermaid,Lupin III: Farewell to Nostradamus,Lupin III Special 10: Crisis in Tokyo,Lupin III Special 12: Missed by a Dollar,Lupin III: Dead or Alive,Lupin III: Part III,Lupin III Special 13: Alcatraz Connection,Lupin III: The Fuma Conspiracy,Lupin III Special 20: Sweet Lost Night,Detective Conan OVA 8: High School Girl Detective Sonoko Suzuki's Case Files,Lupin III Special 27: Goodbye Partner,Lupin III,Detective Conan OVA 1: Conan vs Kid vs YAIBA,Lupin III Special 16: Stolen Lupin,Lupin III Special 7: The Pursuit of Harimao's Treasure,Lupin III Special 18: Seven Days Rhapsody,Lupin III Special 6: Dragon of Doom,Lupin III Special 17: Angel Tactics,Lupin III Special 19: The Elusiveness of the Fog,Lupin III Special 5: Voyage To Danger,Lupin III Special 2: The Hemingway Papers,Lupin III Special 24: Touhou Kenbunroku - Another Page,Detective Conan: Excalibur no Kiseki,Lupin III Special 11: The Columbus Files,Lupin III Special 8: The Secret Of The Twilight Gemini,Lupin III Special 25: Princess of the Breeze - Kakusareta Kuuchuu Toshi,Lupin III Special 3: Napoleon's Dictionary,Lupin III Special 4: From Siberia With Love,"Lupin III Special 1: Bye Bye, Lady Liberty",Lupin III: Green vs Red,Lupin III Special 26: Italian Game,Lupin III: Legend of the Gold of Babylon,Lupin III: Lupin Family All-Stars,Lupin III: The Mystery of Mamo,Lupin III: Secret Files,Lupin III: Return Of Pycal,Monkey Majik: Lupin the Third,Detective Conan vs. Wooo,Lupin III: Pilot Film,Lupin III: Pilot Film,Lupin VIII: Arsene and Cie,,,,,,,,,,,,,,,,17.5,3.692,47
Strange?,57,Stand by Me Doraemon,Doraemon: Nobita no Shin Kyouryuu,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon Movie 38: Nobita's Treasure Island,Doraemon (2005),Doraemon Movie 37: Nobita no Nankyoku Kachi Kochi Daibouken,Doraemon Movie 36: Nobita at the Birth of Japan (2016),Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Doraemon (1973),Doraemon Movie 22: Nobita's Winged Heroes,Doraemon Movie 25: Nobita's Wannyan Space-Time Legend,Doraemon Movie 35: Nobita no Space Heroes,Doraemon Movie 21: Nobita and the Legend of the Sun King,Doraemon Movie 15: Nobita's Fantastical Three Musketeers,Doraemon Movie 27: Nobita no Shin Makai Daibouken - Shichinin no Mahou Tsukai,Doraemon: Doraemon Comes Back (1998),Doraemon Movie 23: Nobita & Robot Kingdom,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Doraemon Movie 20: Nobita Gets Lost in Space,Doraemon Movie 28: Nobita and the Green Giant Legend,Doraemon Movie 26: Nobita's Dinosaur (2006),Doraemon Movie 13: Nobita to Kumo no Oukoku,Doraemon: Doraemon Comes Back,Doraemon Movie 12: Nobita in Dorabian Nights,Doraemon Movie 9: Nobita's Version of Saiyuki,Doraemon Movie 17: Nobita's Galactic Express,Doraemon Movie 30: Nobita's Great Mermaid Naval Battle,Doraemon Movie 2: Nobita no Uchuu Kaitakushi,Doraemon Movie 3: Nobita's Great Demon,Doraemon Movie 8: Nobita and the Dragon Rider,Doraemon Movie 5: Nobita's Great Adventure into the Underworld,Doraemon: Obaa-chan no Omoide,Dorami & Doraemons: Robot School's Seven Mysteries,Doraemon Movie 11: Nobita to Animal Planet,Doraemon Movie 24: Nobita and the Strange Wind Rider,Doraemon Movie 7: Nobita and the Platoon of Iron Men,The Doraemons: Kaitou Dorapan Nazo no Chousenjou!,Doraemon Movie 1: Nobita's Dinosaur,Doraemon Movie 14: Nobita's Tin-Plate Labyrinth,Doraemon (1979),Doraemon: Nobita to Mirai Note,Doraemon Movie 16: Nobita's Genesis Diary,2112: The Birth of Doraemon,Doraemon Movie 6: Nobita's Little Star Wars,Doraemon Movie 10: Nobita at the Birth of Japan,Doraemon: Nobita no Kekkon Zenya,Doraemon Movie 19: Nobita's South Sea Adventure,Doraemon Movie 18: Nobita's Adventure in Clockwork City,Doraemon Movie 4: Nobita's Monstrous Underwater Castle,Doraemon Eigo Kyoushitsu,Dorami-chan: Hello Kyouryuu Kids!!,Doraemon: Boku no Umareta Hi,"Doraemon: Boku, Momotarou no Nanna no Sa",Dorami-chan: MiniDora SOS!!!,The Doraemons: Goal! Goal! Goal!,The Doraemons: Mushimushi Pyonpyon Daisakusen!,,,,,,,,,,,,,,,,,,190.5,3.558,32
